二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
292,TMUS,,38.8,C-暂缓,0.0,20.292519,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
293,DBX,,38.8,C-暂缓,0.0,15.744765,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
294,DKS,,38.8,C-暂缓,0.0,20.28908,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
295,JEF,,38.8,C-暂缓,0.0,15.731355,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
296,WDS,,38.8,C-暂缓,0.0,15.795775,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
297,STC,,38.8,C-暂缓,0.0,15.706567,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
298,FRPT,,38.8,C-暂缓,0.0,15.797525,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
299,FBK,,38.8,C-暂缓,0.0,15.799471,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
300,FITB,,38.8,C-暂缓,0.0,20.244628,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
301,PAC,,38.7,C-暂缓,0.0,20.38706,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
302,PAG,,38.7,C-暂缓,0.0,15.51283,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
303,JKHY,,38.7,C-暂缓,0.0,20.413223,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
304,VDC,,38.7,C-暂缓,0.0,15.565188,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
305,FTDR,,38.7,C-暂缓,0.0,20.471847,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
306,PFG,,38.6,C-暂缓,0.0,15.493679,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
307,PNR,,38.6,C-暂缓,0.0,15.45771,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
308,NWS,,38.6,C-暂缓,0.0,15.373466,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
309,VB,,38.6,C-暂缓,0.0,15.458868,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
310,VBR,,38.6,C-暂缓,0.0,20.501094,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
311,WES,,38.6,C-暂缓,0.0,15.463365,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
312,TS,,38.6,C-暂缓,0.0,15.406834,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
313,NVR,,38.6,C-暂缓,0.0,15.505715,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
314,EXP,,38.6,C-暂缓,0.0,15.436082,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
315,TRI,,38.5,C-暂缓,0.0,25.290604,,,,无,,,,11.45,,,nan,nan,nan,,,,,,,nan,,2651000000.0
316,DIS,,38.5,C-暂缓,0.0,15.319376,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
317,ICE,,38.5,C-暂缓,0.0,20.763269,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
318,POST,,38.5,C-暂缓,0.0,15.350552,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
319,AKO.B,,38.4,C-暂缓,0.0,15.093416,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
320,DOCS,,38.4,C-暂缓,0.0,20.908163,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
321,MO,,38.4,C-暂缓,0.0,15.082212,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
322,MRX,,38.4,C-暂缓,0.0,15.07654,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
323,SNN,,38.4,C-暂缓,0.0,20.907821,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
324,PSX,,38.4,C-暂缓,0.0,20.834198,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
325,QGEN,,38.4,C-暂缓,0.0,20.911606,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
326,BEAV,,38.3,C-暂缓,0.0,20.931818,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
327,DOOR,,38.3,C-暂缓,0.0,21.025535,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
328,CTRA,,38.3,C-暂缓,0.0,15.00149,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
329,SLB,,38.3,C-暂缓,0.0,21.028681,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
330,TLK,,38.3,C-暂缓,0.0,15.030101,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
331,KFY,,38.3,C-暂缓,0.0,14.961686,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
332,KNTK,,38.3,C-暂缓,0.0,21.05854,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
333,SNA,,38.3,C-暂缓,0.0,20.966163,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
334,TRU,,38.3,C-暂缓,0.0,20.954043,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
335,SLF,,38.2,C-暂缓,0.0,21.147832,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
336,HWC,,38.2,C-暂缓,0.0,14.816309,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
337,JPM,,38.2,C-暂缓,0.0,14.898444,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
338,VOYA,,38.2,C-暂缓,0.0,14.886403,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
339,EXG,,38.2,C-暂缓,0.0,21.20614,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
340,ARLP,Energy,38.1,C-暂缓,10.0,13.110526,15.42,-3.2,-19.03,经营现金流3Y为负,29.45,-3.2,-19.03,-6.72,-18.71,22.64,21.34,14.18,,10.79,16.31,,9.46,2.1,0.76,1.22,0.32,651136000.0
341,BABA,Consumer Cyclical,38.1,C-暂缓,18.0,18.271841,39.5,5.62,12.49,经营现金流3Y为负；FCF/NI<70%,192.67,5.62,12.49,-27.47,3.88,-12.83,39.81,10.12,9.76,5.58,14.75,0.27,14.21,1.28,0.55,-0.49,-3.27,76213000000.0
342,RIO,Basic Materials,38.1,C-暂缓,8.0,15.167653,18.03,1.24,-7.0,FCF/NI<70%,112.58,1.24,-7.0,1.42,6.85,3.9,57.43,17.29,16.02,8.63,18.36,0.38,8.97,1.44,0.5,0.45,0.08,16832000000.0
343,NBTB,,38.1,C-暂缓,0.0,14.637928,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
344,IGIB,,38.1,C-暂缓,0.0,14.776629,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
345,VCR,,38.1,C-暂缓,0.0,21.24752,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
346,FOXA,,38.1,C-暂缓,0.0,14.764122,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
347,GEHC,,38.1,C-暂缓,0.0,14.726583,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
348,BRK.A,,38.0,C-暂缓,0.0,14.541283,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
349,BRK.B,,38.0,C-暂缓,0.0,14.495298,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
350,DECK,,38.0,C-暂缓,0.0,14.613714,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
351,GFI,,38.0,C-暂缓,0.0,8.521934,,,,无,,,,,37.2,1.03,nan,nan,nan,nan,21.16,0.38,,1.79,,nan,0.11,
352,MTCH,,38.0,C-暂缓,0.0,14.576466,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
353,MUSA,,38.0,C-暂缓,0.0,21.373082,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
354,FBNC,,38.0,C-暂缓,0.0,21.386031,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
355,ARCC,Financial Services,37.9,C-暂缓,14.0,11.635805,18.57,26.67,29.37,FCF/NI<70%；股数膨胀>2%,23.16,26.67,29.37,nan,,,nan,86.25,9.07,4.37,51.2,1.12,,,0.05,-1.32,11.43,-1717000000.0
356,TEVA,Healthcare,37.9,C-暂缓,0.0,22.514685,19.28,4.96,nan,无,37.35,4.96,nan,1.22,0.12,-6.05,51.79,8.17,17.83,3.52,41.95,2.16,2.34,1.04,0.43,0.81,1.15,1649000000.0
357,SWX,,37.9,C-暂缓,0.0,14.452918,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
358,DVA,,37.9,C-暂缓,0.0,21.60682,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
359,OXY,,37.9,C-暂缓,0.0,14.370843,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
360,PEGA,,37.9,C-暂缓,0.0,14.463589,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
361,MTX,,37.9,C-暂缓,0.0,14.382558,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
362,MU,,37.9,C-暂缓,0.0,21.65246,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
363,NFLX,,37.9,C-暂缓,0.0,21.589726,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
364,VCTR,,37.9,C-暂缓,0.0,21.647999,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
365,TSCO,,37.9,C-暂缓,0.0,14.448037,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
366,ORCL,,37.9,C-暂缓,0.0,21.584906,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
367,EPD,,37.9,C-暂缓,0.0,14.418309,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
368,DOO,Consumer Cyclical,37.8,C-暂缓,6.0,22.413171,26.32,-5.59,-30.37,ROE>40%,81.89,-5.59,-30.37,23.13,-1.16,-7.29,22.35,3.45,48.27,4.62,42.38,4.44,2.94,1.27,1.34,2.99,-2.51,1212500000.0
369,DORM,,37.8,C-暂缓,0.0,21.755471,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
370,PAAS,,37.8,C-暂缓,0.0,14.225314,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
371,PG,,37.8,C-暂缓,0.0,21.799789,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
372,KNSL,,37.8,C-暂缓,0.0,14.338289,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
373,MCD,,37.8,C-暂缓,0.0,21.724989,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
374,STLD,,37.8,C-暂缓,0.0,21.655172,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
375,OGN,,37.8,C-暂缓,0.0,14.345071,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
376,FRT,,37.8,C-暂缓,0.0,21.672444,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
377,HBAN,,37.8,C-暂缓,0.0,14.253916,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
378,HDB,,37.8,C-暂缓,0.0,14.273039,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
379,EC,,37.8,C-暂缓,0.0,14.290827,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
380,AB,Financial Services,37.7,C-暂缓,10.0,11.596273,15.35,2.89,3.03,经营现金流3Y为负,44.11,2.89,3.03,-0.95,,,nan,90.11,24.21,18.31,,,,,0.2,1.18,-6.75,352372000.0
381,GLPI,,37.7,C-暂缓,0.0,14.135739,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
382,IYY,,37.7,C-暂缓,0.0,14.190452,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
383,MTDR,,37.7,C-暂缓,0.0,14.153777,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
384,URBN,,37.7,C-暂缓,0.0,14.167984,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
385,GDDY,,37.7,C-暂缓,0.0,14.165307,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
386,HBM,,37.7,C-暂缓,0.0,14.101796,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
387,HESM,,37.7,C-暂缓,0.0,14.154176,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
388,EOG,,37.7,C-暂缓,0.0,14.19405,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
389,ARCH,,37.6,C-暂缓,0.0,13.950238,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
390,MKL,,37.6,C-暂缓,0.0,14.02487,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
391,PCG,,37.6,C-暂缓,0.0,14.05025,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
392,GMAB,,37.6,C-暂缓,0.0,22.007663,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
393,SKWD,,37.6,C-暂缓,0.0,13.944309,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
394,SM,,37.6,C-暂缓,0.0,14.004219,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
395,MDT,,37.6,C-暂缓,0.0,21.954424,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
396,OGE,,37.6,C-暂缓,0.0,21.991061,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
397,OR,,37.6,C-暂缓,0.0,21.96905,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
398,OTTR,,37.6,C-暂缓,0.0,13.9282,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
399,IQV,Healthcare,37.5,C-暂缓,0.0,24.591832,19.64,4.21,7.62,无,247.05,4.21,7.62,5.5,7.87,,33.29,8.34,20.91,4.79,53.26,2.45,3.18,0.75,0.57,1.51,-2.98,2654000000.0
400,TCBI,,37.5,C-暂缓,0.0,13.81341,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
401,DAL,,37.5,C-暂缓,0.0,13.8571,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
402,PATK,,37.5,C-暂缓,0.0,22.158974,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
403,PMTU,,37.5,C-暂缓,0.0,22.165574,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
404,PNC,,37.5,C-暂缓,0.0,13.887869,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
405,PPL,,37.5,C-暂缓,0.0,22.093645,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
406,STN,,37.5,C-暂缓,0.0,22.21541,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
407,VALE,,37.5,C-暂缓,0.0,22.212672,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
408,NTR,,37.5,C-暂缓,0.0,13.902543,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
409,DUOL,,37.4,C-暂缓,0.0,13.672591,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
410,PHIN,,37.4,C-暂缓,0.0,22.276854,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
411,KD,,37.4,C-暂缓,0.0,13.705882,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
412,HLNE,,37.4,C-暂缓,0.0,13.708072,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
413,FBIN,,37.4,C-暂缓,0.0,22.295816,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
414,FCF,,37.4,C-暂缓,0.0,13.71166,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
415,ADEA,Technology,37.3,C-暂缓,10.0,25.027523,20.56,0.34,nan,经营现金流3Y为负,34.34,0.34,nan,-4.77,-21.18,nan,169.36,25.05,23.11,10.39,41.16,0.89,4.49,3.81,0.41,1.34,1.2,158086000.0
416,OTF,Financial Services,37.3,C-暂缓,21.0,10.993588,37.1,149.84,235.95,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,15.82,149.84,235.95,nan,,,nan,92.43,8.96,6.72,42.73,0.78,1.75,,0.07,-1.27,31.33,-915952000.0
417,DHI,,37.3,C-暂缓,0.0,13.558727,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
418,PNFP,,37.3,C-暂缓,0.0,13.541029,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
419,GSK,,37.3,C-暂缓,0.0,13.585978,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
420,KDP,,37.3,C-暂缓,0.0,22.396549,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
421,KEY,,37.3,C-暂缓,0.0,13.51462,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
422,KBH,,37.3,C-暂缓,0.0,13.528273,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
423,SKY,,37.3,C-暂缓,0.0,22.407104,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
424,NWSA,,37.3,C-暂缓,0.0,13.580309,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
425,MDYG,,37.3,C-暂缓,0.0,13.545879,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
426,NU,,37.3,C-暂缓,0.0,22.38631,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
427,ONB,,37.3,C-暂缓,0.0,13.603093,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
428,ORLA,,37.3,C-暂缓,0.0,13.478377,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
429,FSLR,,37.3,C-暂缓,0.0,13.494599,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
430,HLI,,37.3,C-暂缓,0.0,22.406756,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
431,PXD,,37.2,C-暂缓,0.0,13.348617,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
432,MKTX,,37.2,C-暂缓,0.0,13.365927,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
433,TIGO,,37.2,C-暂缓,0.0,13.370991,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
434,PAYX,,37.2,C-暂缓,0.0,22.646217,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
435,FGN,,37.2,C-暂缓,0.0,13.336881,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
436,GNTX,,37.2,C-暂缓,0.0,13.425019,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
437,WEC,,37.2,C-暂缓,0.0,22.598406,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
438,OII,,37.2,C-暂缓,0.0,13.371733,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
439,HCXY,,37.2,C-暂缓,0.0,13.32794,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
440,UNVR,,37.1,C-暂缓,0.0,13.294194,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
441,SYY,,37.1,C-暂缓,0.0,22.786717,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
442,PB,,37.1,C-暂缓,0.0,13.28626,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
443,PHG,,37.1,C-暂缓,0.0,22.767553,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
444,JD,,37.1,C-暂缓,0.0,22.80337,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
445,MTB,,37.1,C-暂缓,0.0,13.27316,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
446,NEE,,37.1,C-暂缓,0.0,22.705203,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
447,NVS,,37.1,C-暂缓,0.0,22.807983,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
448,FOX,,37.1,C-暂缓,0.0,13.24194,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
449,FINN,,37.1,C-暂缓,0.0,13.198923,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
450,PGTI,,37.0,C-暂缓,0.0,22.945355,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
451,CMC,Industrials,37.0,C-暂缓,0.0,12.931305,19.79,-4.36,-58.88,无,84.87,-4.36,-58.88,0.7,-4.02,-7.22,15.65,1.09,2.02,1.21,18.88,0.32,3.36,2.78,1.11,3.69,-1.82,715070000.0
452,MLM,,37.0,C-暂缓,0.0,13.13305,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
453,KEX,,37.0,C-暂缓,0.0,22.930912,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
454,MTH,,37.0,C-暂缓,0.0,13.135617,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
455,SIGI,,37.0,C-暂缓,0.0,13.139079,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
456,PRI,,37.0,C-暂缓,0.0,13.116913,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
457,UBSI,,37.0,C-暂缓,0.0,13.133081,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
458,EXPE,,37.0,C-暂缓,0.0,22.83686,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
459,FERG,,37.0,C-暂缓,0.0,22.834179,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
460,HMN,,36.9,C-暂缓,0.0,12.904681,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
461,TBBK,,36.9,C-暂缓,0.0,12.952427,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
462,TDW,,36.9,C-暂缓,0.0,12.920833,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
463,MDU,,36.9,C-暂缓,0.0,22.980748,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
464,MDY,,36.9,C-暂缓,0.0,22.968129,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
465,FRME,,36.9,C-暂缓,0.0,12.994334,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
466,KT,Communication Services,36.8,C-暂缓,8.0,8.39944,26.77,3.29,10.89,FCF/NI<70%,24.58,3.29,10.89,11.17,-1.67,-11.06,64.05,6.08,9.76,4.04,25.05,0.61,7.56,1.19,0.66,0.52,-1.99,4941733000000.0
467,DGX,,36.8,C-暂缓,0.0,23.185126,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
468,EBC,,36.8,C-暂缓,0.0,12.797198,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
469,JNK,,36.8,C-暂缓,0.0,12.844416,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
470,MSA,,36.8,C-暂缓,0.0,23.184053,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
471,USB,,36.8,C-暂缓,0.0,12.868263,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
472,MDYV,,36.8,C-暂缓,0.0,12.885412,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
473,MSFT,,36.8,C-暂缓,0.0,23.248694,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
474,FMS,,36.8,C-暂缓,0.0,12.780716,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
475,HCA,,36.8,C-暂缓,0.0,12.792114,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
476,FBP,,36.8,C-暂缓,0.0,12.817933,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
477,ATMU,Consumer Cyclical,36.7,C-暂缓,14.0,20.592466,21.01,4.14,6.77,ROE>40%；应收增速>营收,66.5,4.14,6.77,6.95,22.48,4.84,28.24,11.76,54.8,16.32,45.3,1.62,8.97,2.42,1.39,0.72,-0.72,202700000.0
478,DRVN,,36.7,C-暂缓,0.0,12.683509,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
479,GL,,36.7,C-暂缓,0.0,12.714122,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
480,SIG,,36.7,C-暂缓,0.0,12.700137,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
481,SIRI,,36.7,C-暂缓,0.0,12.679184,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
482,UGI,,36.7,C-暂缓,0.0,12.742225,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
483,NUE,,36.7,C-暂缓,0.0,23.379514,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
484,EWBC,,36.7,C-暂缓,0.0,12.642274,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
485,FHB,,36.7,C-暂缓,0.0,12.626672,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
486,FLR,,36.7,C-暂缓,0.0,23.368063,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
487,LEN.B,,36.6,C-暂缓,0.0,12.5503,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
488,TKC,,36.6,C-暂缓,0.0,12.483226,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
489,PBH,,36.6,C-暂缓,0.0,12.537084,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
490,PJT,,36.6,C-暂缓,0.0,23.446291,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
491,VAW,,36.6,C-暂缓,0.0,23.443383,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
492,WBS,,36.6,C-暂缓,0.0,12.54827,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
493,WFC,,36.6,C-暂缓,0.0,12.559214,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
494,TTE,,36.6,C-暂缓,0.0,12.597428,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
495,UMBF,,36.6,C-暂缓,0.0,12.490125,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
496,GD,,36.6,C-暂缓,0.0,23.484023,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
497,GTY,,36.6,C-暂缓,0.0,23.465072,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
498,HD,,36.6,C-暂缓,0.0,23.540971,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
499,EQT,,36.6,C-暂缓,0.0,12.52465,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
500,FIBK,,36.6,C-暂缓,0.0,12.516926,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
501,AGR,,36.5,C-暂缓,0.0,12.422506,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
502,DVN,,36.5,C-暂缓,0.0,12.434237,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
503,MC,,36.5,C-暂缓,0.0,23.690647,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
504,MUFG,,36.5,C-暂缓,0.0,23.583615,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
505,SBS,,36.5,C-暂缓,0.0,12.335231,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
506,IHI,,36.5,C-暂缓,0.0,12.3732,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
507,POR,,36.5,C-暂缓,0.0,23.625,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
508,PSO,,36.5,C-暂缓,0.0,23.579617,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
509,TROW,,36.5,C-暂缓,0.0,12.440723,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
510,UGP,,36.5,C-暂缓,0.0,12.341343,,,,无,,,,,,,nan,nan,nan,,,,,,,nan,,
